Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес,Найближча станція,Відстань до метро
"вул. Глибочицька, 32А",2 кімнати,95 м²,56 180 грн,"Шевченківський,",Контрактова площа,"{'lat': 50.4615354, 'lng': 30.4932619}",Лук'янівська,1.055
"вул. Сікорського, 4-6",2 кімнати,80 м²,37 453 грн,"Шевченківський,",Берестейська,"{'lat': 50.4655061, 'lng': 30.4321317}",Берестейська,1.469
"вул. Шота Руставелі, 44",4 кімнати,230 м²,86 142 грн,"Печерський,",Палац спорту,"{'lat': 50.4352633, 'lng': 30.5180058}",Олімпійська,1.045
"вул. Глибочицька, 73-77",2 кімнати,90 м²,44 944 грн,"Шевченківський,",,"{'lat': 50.4632151, 'lng': 30.5039694}",Контрактова площа,1.482
"бул. Лесі Українки, 8",2 кімнати,60 м²,44 944 грн,"Печерський,",Печерська,"{'lat': 50.4364836, 'lng': 30.5273173}",Кловська,1.094
"вул. Василя Тютюнника, 37/1",3 кімнати,127 м²,37 453 грн,"Печерський,",,"{'lat': 50.421121, 'lng': 30.5263204}",Палац Україна,0.663
"вул. Провідницька, 3",3 кімнати,130 м²,74 906 грн,"Шевченківський,",Політехнічний інститут,"{'lat': 50.4330608, 'lng': 30.4961423}",Вокзальна,3.946
"вул. Жилянська, 68",3 кімнати,115 м²,112 360 грн,"Голосіївський,",Площа Льва Толстого,"{'lat': 50.436448, 'lng': 30.503023}",Університет,2.235
"вул. Левка Лук'яненка, 21/3",3 кімнати,125 м²,37 453 грн,"Оболонський,",Мінська,"{'lat': 50.4501, 'lng': 30.5234}",Васильківська,0.0
"вул. Володимирська, 49А",4 кімнати,155 м²,44 944 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4475103, 'lng': 30.5145147}",Золоті ворота,0.884
"вул. Саперне Поле, 12",3 кімнати,164 м²,112 360 грн,"Печерський,",Либідська,"{'lat': 50.4175225, 'lng': 30.5299452}",Либідська,1.211
"вул. Саксаганського, 37К",2 кімнати,65 м²,37 453 грн,"Печерський,",,"{'lat': 50.4354538, 'lng': 30.5125045}",Олімпійська,0.671
"вул. Предславинська, 31/11",3 кімнати,135 м²,44 944 грн,"Печерський,",,"{'lat': 50.42405890000001, 'lng': 30.5217436}",Палац Україна,0.971
"вул. Академика Філатова, 53",4 кімнати,120 м²,74 906 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"вул. Жилянська, 68",2 кімнати,60 м²,56 180 грн,"Голосіївський,",Вокзальна,"{'lat': 50.436448, 'lng': 30.503023}",Університет,2.235
"бул. Лесі Українки, 7Б",4 кімнати,160 м²,74 906 грн,"Печерський,",Печерська,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Коновальця Євгена, 26А",4 кімнати,130 м²,93 595 грн,"Печерський,",,"{'lat': 50.42695519999999, 'lng': 30.5307143}",Печерська,0.932
"вул. Академика Філатова, 53",3 кімнати,80 м²,43 071 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"вул. Ділова, 1/2",3 кімнати,109 м²,131 086 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"бул. Тараса Шевченка, 27Б",3 кімнати,165 м²,93 633 грн,"Шевченківський,",Університет,"{'lat': 50.445198, 'lng': 30.4972789}",Університет,1.048
"Вал Ярославів вулиця, 28",4 кімнати,130 м²,63 670 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4520839, 'lng': 30.5089049}",Золоті ворота,1.019
"бул. Лесі Українки, 7Б",4 кімнати,160 м²,74 906 грн,"Печерський,",Кловська,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Коновальця Євгена, 32Г",1 кімната,136 м²,37 453 грн,"Печерський,",,"{'lat': 50.4255759, 'lng': 30.5309483}",Печерська,1.162
"вул. Ярославів Вал, 14В",3 кімнати,82 м²,74 906 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4503847, 'lng': 30.5116562}",Золоті ворота,0.75
"вул. Ділова, 1/2",1 кімната,60 м²,37 453 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"вул. Богдана Хмельницького, 51Б",2 кімнати,100 м²,63 670 грн,"Шевченківський,",Університет,"{'lat': 50.446883, 'lng': 30.5006847}",Університет,2.398
"вул. Ділова, 1/2",1 кімната,80 м²,86 142 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"вул. Деміївська, 62",1 кімната,65 м²,52 434 грн,"Голосіївський,",,"{'lat': 50.3987853, 'lng': 30.4995792}",Голосіївська,1.313
"вул. Болсуновська, 2",2 кімнати,82 м²,112 360 грн,"Печерський,",Печерська,"{'lat': 50.4213737, 'lng': 30.5525159}",Дружби народів,1.647
"вул. Драгомирова, 18",4 кімнати,137 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"просп. Володимира Івасюка, 12Е",2 кімнати,99 м²,41 198 грн,"Оболонський,",Оболонь,"{'lat': 50.5062773, 'lng': 30.5133144}",Оболонь,2.134
"вул. Патріса Лумумби, 12",3 кімнати,95 м²,104 869 грн,"Печерський,","Палац ""Україна""","{'lat': 50.41983380000001, 'lng': 30.5329927}",Дружби народів,1.531
"вул. Юрія Іллєнка, 18Б",3 кімнати,146 м²,89 888 грн,"Шевченківський,",,"{'lat': 50.46657949999999, 'lng': 30.47665569999999}",Лук'янівська,1.087
"вул. Звіринецька, 59",3 кімнати,85 м²,56 142 грн,"Печерський,",Либідська,"{'lat': 50.40776959999999, 'lng': 30.5552412}",Дружби народів,2.587
вул. Ділова,2 кімнати,45 м²,44 906 грн,"Печерський,",Олімпійська,"{'lat': 50.4299123, 'lng': 30.5154433}",Олімпійська,0.99
"вул. Євгена Сверстюка, 4",2 кімнати,50 м²,37 453 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4485245, 'lng': 30.5996028}",Лівобережна,0.376
"вул. Антоновича, 3",3 кімнати,120 м²,67 416 грн,"Голосіївський,",Площа Льва Толстого,"{'lat': 50.4390209, 'lng': 30.514017}",Площа Льва Толстого,0.467
"вул. Ділова, 1/2",3 кімнати,100 м²,112 322 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"вул. Ділова, 1/2",2 кімнати,50 м²,56 142 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"вул. Академика Філатова, 53",2 кімнати,133 м²,44 944 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"бул. Лесі Українки, 7Б",4 кімнати,160 м²,59 925 грн,"Печерський,",Печерська,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Коновальця Євгена, 34",2 кімнати,128 м²,37 453 грн,"Печерський,",Печерська,"{'lat': 50.4267967, 'lng': 30.5344145}",Печерська,0.509
"вул. Звіринецька, 59",3 кімнати,162 м²,112 360 грн,"Печерський,",Видубичі,"{'lat': 50.40776959999999, 'lng': 30.5552412}",Дружби народів,2.587
"вул. Антоновича, 23",3 кімнати,92 м²,63 670 грн,"Голосіївський,",Площа Льва Толстого,"{'lat': 50.4367088, 'lng': 30.5140108}",Площа Льва Толстого,0.724
"вул. Ділова, 1/2",3 кімнати,109 м²,149 775 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"вул. Антоновича, 44",2 кімнати,42 м²,37 453 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}",Олімпійська,0.388
"вул. Саперне Поле, 5",2 кімнати,61 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}",Палац Україна,1.119
"вул. Ірининська, 1/3",3 кімнати,80 м²,44 944 грн,"Шевченківський,",,"{'lat': 50.45130930000001, 'lng': 30.5164593}",Васильківська,1.35
"вул. Академика Філатова, 53",4 кімнати,180 м²,149 813 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"вул. Антоновича, 109",2 кімнати,80 м²,71 161 грн,"Голосіївський,","Палац ""Україна""","{'lat': 50.4228775, 'lng': 30.5171182}",Палац Україна,0.853
"просп. Берестейський(Перемоги), 42",3 кімнати,110 м²,63 670 грн,"Шевченківський,",Шулявська,"{'lat': 50.454717, 'lng': 30.4520679}",Шулявська,0.582
"вул. Предславинська, 42А",3 кімнати,91 м²,67 416 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}",Либідська,1.211
"вул. Глибочицька, 32А",3 кімнати,95 м²,52 434 грн,"Шевченківський,",Контрактова площа,"{'lat': 50.4615354, 'lng': 30.4932619}",Лук'янівська,1.055
"вул. Болсуновська, 2",3 кімнати,126 м²,71 161 грн,"Печерський,",Печерська,"{'lat': 50.4213737, 'lng': 30.5525159}",Дружби народів,1.647
"вул. Саперне Поле, 5",5 кімнат,160 м²,205 992 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}",Палац Україна,1.119
"вул. Болсуновська, 2",2 кімнати,65 м²,37 453 грн,"Печерський,",Дружби народів,"{'lat': 50.4213737, 'lng': 30.5525159}",Дружби народів,1.647
"вул. Лебедєва-Кумача, 5",3 кімнати,100 м²,44 944 грн,"Солом'янський,",Шулявська,"{'lat': 50.4403925, 'lng': 30.444386}",Шулявська,1.921
"вул. Деміївська, 62",3 кімнати,153 м²,157 303 грн,"Голосіївський,",Деміївська,"{'lat': 50.3987853, 'lng': 30.4995792}",Голосіївська,1.313
"вул. Коновальця Євгена, 26А",4 кімнати,130 м²,131 086 грн,"Печерський,",,"{'lat': 50.42695519999999, 'lng': 30.5307143}",Печерська,0.932
"вул. Олеся Гончара, 47Б",4 кімнати,200 м²,131 086 грн,"Шевченківський,",Університет,"{'lat': 50.4504428, 'lng': 30.5055329}",Університет,2.46
"вул. Василя Тютюнника, 37/1",3 кімнати,90 м²,37 453 грн,"Печерський,",Либідська,"{'lat': 50.421121, 'lng': 30.5263204}",Палац Україна,0.663
"вул. Драгомирова, 18",4 кімнати,180 м²,112 360 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"вул. Коновальця Євгена, 32Г",3 кімнати,136 м²,37 416 грн,"Печерський,",Печерська,"{'lat': 50.4255759, 'lng': 30.5309483}",Печерська,1.162
"вул. Лейпцизька, 13",3 кімнати,90 м²,44 944 грн,"Печерський,",Осокорки,"{'lat': 50.431294, 'lng': 30.5501859}",Печерська,1.332
