Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес
"вул. Драгомирова, 7",2 кімнати,90 м²,63 670 грн,"Печерський,",,"{'lat': 50.4109729, 'lng': 30.5465874}"
"вул. Драгомирова, 7",3 кімнати,85 м²,44 944 грн,"Печерський,",,"{'lat': 50.4109729, 'lng': 30.5465874}"
"вул. Драгомирова, 2А",2 кімнати,105 м²,44 944 грн,"Печерський,",,"{'lat': 50.41358049999999, 'lng': 30.5445166}"
"вул. Драгомирова, 17",2 кімнати,55 м²,33 708 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Драгомирова, 7",3 кімнати,87 м²,44 944 грн,"Печерський,",,"{'lat': 50.4109729, 'lng': 30.5465874}"
"вул. Драгомирова, 15Б",2 кімнати,50 м²,29 963 грн,"Печерський,",,"{'lat': 50.4081006, 'lng': 30.5449295}"
"вул. Драгомирова, 15",3 кімнати,140 м²,78 652 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 17",3 кімнати,120 м²,82 397 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Драгомирова, 15",2 кімнати,60 м²,35 581 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 12",3 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}"
"вул. Драгомирова, 9",5 кімнат,240 м²,119 850 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}"
"вул. Драгомирова, 3",2 кімнати,50 м²,28 090 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}"
"вул. Драгомирова, 20",2 кімнати,90 м²,56 180 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 17",3 кімнати,94 м²,123 595 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Драгомирова, 20",2 кімнати,55 м²,37 453 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 20",2 кімнати,90 м²,52 434 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 5",2 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.4118674, 'lng': 30.546937}"
"вул. Драгомирова, 15",2 кімнати,60 м²,44 944 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 15",3 кімнати,120 м²,67 416 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 16",2 кімнати,50 м²,24 345 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Драгомирова, 15",3 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 5",2 кімнати,50 м²,18 727 грн,"Печерський,",,"{'lat': 50.4118674, 'lng': 30.546937}"
"вул. Драгомирова, 20",2 кімнати,120 м²,56 180 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 14А",1 кімната,52 м²,37 453 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Драгомирова, 16",3 кімнати,85 м²,44 944 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Драгомирова, 5",3 кімнати,170 м²,82 397 грн,"Печерський,",,"{'lat': 50.4118674, 'lng': 30.546937}"
"вул. Кахи Бендукідзе, 2",2 кімнати,76 м²,44 944 грн,"Печерський,",,"{'lat': 50.4110889, 'lng': 30.543127}"
"вул. Воздвиженська, 50",3 кімнати,100 м²,37 453 грн,"Подільський,",Контрактова площа,"{'lat': 50.4590079, 'lng': 30.5138509}"
"просп. Голосіївський, 60",2 кімнати,100 м²,37 453 грн,"Голосіївський,",Деміївська,"{'lat': 50.401103, 'lng': 30.5120993}"
"просп. Науки, 60А",2 кімнати,52 м²,12 000 грн,"Голосіївський,",Деміївська,"{'lat': 50.3805418, 'lng': 30.5330995}"
"Краснозвездный просп., 12",2 кімнати,60 м²,11 000 грн,"Солом'янський,",Деміївська,"{'lat': 50.4206845, 'lng': 30.4691221}"
"вул. Микільсько-Слобідська, 3А",2 кімнати,77 м²,23 000 грн,"Дніпровський,",Лівобережна,"{'lat': 50.45050500000001, 'lng': 30.5849588}"
"вул. Ахматової Анни, 14Б",2 кімнати,60 м²,12 000 грн,"Дарницький,",Позняки,"{'lat': 50.4120047, 'lng': 30.6345257}"
"вул. Рейтарська, 31/16",2 кімнати,47 м²,20 000 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.45285699999999, 'lng': 30.509195}"
"вул. Ломоносова, 54",3 кімнати,110 м²,27 000 грн,"Голосіївський,",Виставковий центр,"{'lat': 50.3851621, 'lng': 30.4628153}"
"вул. Антоновича, 164",2 кімнати,56 м²,11 000 грн,"Голосіївський,","Палац ""Україна""","{'lat': 50.4156061, 'lng': 30.5208227}"
"вул. Чавдар Єлизавети, 8",2 кімнати,51 м²,14 000 грн,"Дарницький,",,"{'lat': 50.3909393, 'lng': 30.6239352}"
"вул. Ахматової Анни, 31",3 кімнати,110 м²,15 000 грн,"Дарницький,",Позняки,"{'lat': 50.407479, 'lng': 30.627456}"
"узвіз Кловський, 12",2 кімнати,45 м²,14 000 грн,"Печерський,",Кловська,"{'lat': 50.439288, 'lng': 30.5377646}"
"Ярослава Гашека бульвар, 20",1 кімната,41 м²,8 500 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4379019, 'lng': 30.6342601}"
"вул. Драгомирова, 11",4 кімнати,120 м²,67 416 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
бул. Лесі Українки,3 кімнати,138 м²,26 217 грн,"Печерський,",,"{'lat': 50.4296937, 'lng': 30.5365844}"
"вул. Хрещатик, 27",3 кімнати,86 м²,32 000 грн,"Печерський,",Майдан Незалежності,"{'lat': 50.4438398, 'lng': 30.5225885}"
"вул. Жилянська, 68",2 кімнати,55 м²,29 963 грн,"Голосіївський,",Олімпійська,"{'lat': 50.436448, 'lng': 30.503023}"
вул. Олени Теліги,3 кімнати,64 м²,14 000 грн,"Шевченківський,",Дорогожичі,"{'lat': 50.4818322, 'lng': 30.4593629}"
"вул. Введенська, 4",4 кімнати,230 м²,112 360 грн,"Подільський,",Контрактова площа,"{'lat': 50.4686657, 'lng': 30.5073191}"
"Левка Лукяненка, 21",3 кімнати,220 м²,41 198 грн,"Оболонський,",Мінська,"{'lat': 50.4501, 'lng': 30.5234}"
"вул. Михайла Донця, 12",2 кімнати,31 м²,10 000 грн,"Солом'янський,",Шулявська,"{'lat': 50.4289037, 'lng': 30.4254729}"
"вул. Драгомирова, 15",3 кімнати,140 м²,78 652 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 9",5 кімнат,240 м²,119 850 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}"
"вул. Драгомирова, 9",2 кімнати,68 м²,41 198 грн,"Печерський,",Дружби народів,"{'lat': 50.4101218, 'lng': 30.5465873}"
"бул. Лесі Українки, 7А",2 кімнати,104 м²,33 708 грн,"Печерський,",Печерська,"{'lat': 50.43268639999999, 'lng': 30.5334457}"
"пров. Нестеровський, 6",3 кімнати,130 м²,56 180 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4568673, 'lng': 30.5039135}"
"вул. Бульварно-Кудрявська, 15А",1 кімната,55 м²,22 472 грн,"Шевченківський,",Театральна,"{'lat': 50.4528628, 'lng': 30.5027825}"
"вул. Бульварно-Кудрявська, 15А",2 кімнати,55 м²,22 472 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4528628, 'lng': 30.5027825}"
Тверський туп.,2 кімнати,54 м²,28 090 грн,"Печерський,",,"{'lat': 50.4228842, 'lng': 30.5315066}"
"наб. Дніпровська, 1Б",4 кімнати,148 м²,29 963 грн,"Дніпровський,",,"{'lat': 50.4287798, 'lng': 30.5945635}"
"вул. Введенська, 4",4 кімнати,230 м²,112 360 грн,"Подільський,",Поштова площа,"{'lat': 50.4686657, 'lng': 30.5073191}"
"вул. Старонаводницька, 13",4 кімнати,170 м²,33 708 грн,"Печерський,",Печерська,"{'lat': 50.42676059999999, 'lng': 30.54283329999999}"
"вул. Горького, 44",3 кімнати,100 м²,93 633 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4336785, 'lng': 30.5131808}"
вул. Бульварно-Кудрявська,2 кімнати,54 м²,29 963 грн,"Шевченківський,",,"{'lat': 50.4513764, 'lng': 30.4987808}"
"вул. Предславинська, 53",1 кімната,59 м²,48 689 грн,"Печерський,",Либідська,"{'lat': 50.4163373, 'lng': 30.5264989}"
"вул. Івана Виговського(Івана Виговського), 26",1 кімната,24 м²,5 800 грн,"Шевченківський,",Сирець,"{'lat': 50.49494259999999, 'lng': 30.4065699}"
"вул. Ломоносова, 60/5",2 кімнати,87 м²,24 000 грн,"Голосіївський,",Виставковий центр,"{'lat': 50.3835102, 'lng': 30.4589956}"
"просп. Лобановського, 18",3 кімнати,108 м²,14 500 грн,"Солом'янський,",,"{'lat': 50.4204207, 'lng': 30.4700351}"
"вул. Коновальця Євгена, 32Б",3 кімнати,145 м²,35 000 грн,"Печерський,",Печерська,"{'lat': 50.4258396, 'lng': 30.5324957}"
"вул. Зарічна, 2",2 кімнати,68 м²,48 689 грн,"Дарницький,",Славутич,"{'lat': 50.3958164, 'lng': 30.6057436}"
"вул. Княжий Затон, 4",1 кімната,56 м²,9 000 грн,"Дарницький,",Позняки,"{'lat': 50.403029, 'lng': 30.626106}"
вул. Юрія Шумського,4 кімнати,113 м²,44 944 грн,"Дніпровський,",,"{'lat': 50.4247199, 'lng': 30.6029522}"
"вул. Митрополита Василя Липківського, 37В",3 кімнати,80 м²,29 963 грн,"Солом'янський,",Вокзальна,"{'lat': 50.4300231, 'lng': 30.4782976}"
вул. Володимирська,2 кімнати,63 м²,18 727 грн,"Шевченківський,",,"{'lat': 50.4455567, 'lng': 30.5132001}"
"пров. Нестеровський, 6",3 кімнати,130 м²,56 180 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4568673, 'lng': 30.5039135}"
"вул. Максимовича, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська,"{'lat': 50.3906335, 'lng': 30.4795959}"
"вул. Януша Корчака, 64",3 кімнати,70 м²,12 000 грн,"Шевченківський,",Нивки,"{'lat': 50.47086849999999, 'lng': 30.4231667}"
"просп. Генерала Ватутіна, 8Г",1 кімната,46 м²,11 000 грн,"Дніпровський,",Почайна(Петрівка),"{'lat': 50.4932835, 'lng': 30.5800172}"
"просп. Свободи, 15/1",1 кімната,45 м²,9 000 грн,"Подільський,",,"{'lat': 50.513163, 'lng': 30.4227491}"
"вул. Максимовича, 3Г",2 кімнати,89 м²,40 000 грн,"Голосіївський,",Васильківська,"{'lat': 50.3919675, 'lng': 30.4798711}"
"вул. Дмитрівська, 69",4 кімнати,170 м²,40 000 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4548104, 'lng': 30.48681169999999}"
"вул. Рейтарська, 31/16",4 кімнати,300 м²,187 266 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.45285699999999, 'lng': 30.509195}"
"вул. Ревуцького, 40Б",2 кімнати,66 м²,17 000 грн,"Дарницький,",Харківська,"{'lat': 50.4038131, 'lng': 30.64856529999999}"
"вул. Івана Мазепи, 11А",3 кімнати,64 м²,22 000 грн,"Печерський,",Арсенальна,"{'lat': 50.4419584, 'lng': 30.5497476}"
"вул. Солом'янська, 15А",2 кімнати,80 м²,22 472 грн,"Солом'янський,",,"{'lat': 50.424757, 'lng': 30.4783093}"
"вул. Солом'янська, 20В",3 кімнати,82 м²,24 345 грн,"Солом'янський,",Олімпійська,"{'lat': 50.4231649, 'lng': 30.4799306}"
"просп. Лісовий, 5",2 кімнати,50 м²,8 000 грн,"Деснянський,",Лісова,"{'lat': 50.3863107, 'lng': 30.708518}"
"вул. Софіївська, 16/16",2 кімнати,65 м²,54 307 грн,"Печерський,",Золоті ворота,"{'lat': 50.452372, 'lng': 30.517996}"
вул. Софіївська,2 кімнати,65 м²,48 689 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4521243, 'lng': 30.5183356}"
"вул. Лейпцизька, 13",3 кімнати,100 м²,48 689 грн,"Печерський,",Золоті ворота,"{'lat': 50.431294, 'lng': 30.5501859}"
"вул. Мостицька, 10",3 кімнати,77 м²,15 000 грн,"Подільський,",,"{'lat': 50.501607, 'lng': 30.4480013}"
"вул. Маккейна Джона, 1",1 кімната,46 м²,24 345 грн,"Печерський,",Либідська,"{'lat': 50.4139129, 'lng': 30.5264399}"
"вул. Коновальця Євгена, 26А",3 кімнати,106 м²,74 906 грн,"Печерський,",Печерська,"{'lat': 50.42695519999999, 'lng': 30.5307143}"
